DATE FORMAT	ORDER_NUMBER	SKU	PCS
01/01/2017	834897	364960	1.0
01/01/2017	834897	364962	1.0
01/01/2017	834896	328837	1.0
01/01/2017	834896	330665	1.0
01/01/2017	834896	359029	1.0
01/01/2017	834896	368185	1.0
01/01/2017	834896	368186	1.0
01/01/2017	834894	330262	1.0
01/01/2017	834894	335860	2.0
01/01/2017	834894	358301	1.0
01/01/2017	834894	359100	1.0
01/01/2017	834894	373266	1.0
01/01/2017	834894	373267	1.0
01/01/2017	834885	314609	1.0
01/01/2017	834885	335349	1.0
01/01/2017	834885	362914	1.0
01/01/2017	834882	230954	1.0
01/01/2017	834882	239865	1.0
01/01/2017	834882	288136	1.0
01/01/2017	834881	276853	1.0
01/01/2017	834881	276858	1.0
01/01/2017	834881	276866	1.0
01/01/2017	834880	245655	1.0
01/01/2017	834880	364474	1.0
01/01/2017	834880	366773	1.0
01/01/2017	834877	263728	1.0
01/01/2017	834877	263737	1.0
01/01/2017	834877	263738	1.0
01/01/2017	834861	332427	1.0
01/01/2017	834861	347708	1.0
01/01/2017	834861	355143	1.0
01/01/2017	834859	369479	1.0
01/01/2017	834859	373286	1.0
01/01/2017	834859	373287	1.0
01/01/2017	834853	371171	1.0
01/01/2017	834853	373272	1.0
01/01/2017	834840	74347	1.0
01/01/2017	834840	238490	1.0
01/01/2017	834799	363492	1.0
01/01/2017	834797	320616	1.0
01/01/2017	834801	369468	1.0
01/01/2017	834791	369473	1.0
01/01/2017	834875	348235	1.0
01/01/2017	834875	348236	1.0
01/01/2017	834875	348238	1.0
01/01/2017	834875	348240	1.0
01/01/2017	834850	362655	1.0
01/01/2017	834850	363055	1.0
01/01/2017	834827	353864	1.0
01/01/2017	834849	362655	1.0
01/01/2017	834849	363055	1.0
01/01/2017	834787	369472	1.0
01/01/2017	834893	316589	1.0
01/01/2017	834893	364018	2.0
01/01/2017	834893	369472	3.0
01/01/2017	834893	369479	2.0
01/01/2017	834893	373286	1.0
01/01/2017	834893	373287	1.0
01/01/2017	834893	373288	1.0
01/01/2017	834893	373289	1.0
01/01/2017	834891	304358	1.0
01/01/2017	834891	364474	1.0
01/01/2017	834891	369468	1.0
01/01/2017	834891	369472	1.0
01/01/2017	834891	373272	1.0
01/01/2017	834892	314709	1.0
01/01/2017	834892	335056	1.0
01/01/2017	834892	335060	3.0
01/01/2017	834892	351054	1.0
01/01/2017	834892	362655	1.0
01/01/2017	834892	363055	1.0
01/01/2017	834892	363493	1.0
01/01/2017	834892	373285	1.0
01/01/2017	834890	146925	1.0
01/01/2017	834890	364058	2.0
01/01/2017	834890	364059	2.0
01/01/2017	834890	364060	9.0
01/01/2017	834890	364061	2.0
01/01/2017	834889	188411	1.0
01/01/2017	834889	223132	1.0
01/01/2017	834889	231400	1.0
01/01/2017	834889	304410	1.0
01/01/2017	834889	309851	1.0
01/01/2017	834889	332917	1.0
01/01/2017	834888	332321	1.0
01/01/2017	834888	362655	1.0
01/01/2017	834888	363055	1.0
01/01/2017	834888	367002	1.0
01/01/2017	834888	367023	1.0
01/01/2017	834887	309462	6.0
01/01/2017	834887	309978	1.0
01/01/2017	834887	364489	1.0
01/01/2017	834887	366158	1.0
01/01/2017	834887	367269	2.0
01/01/2017	834887	369455	1.0
01/01/2017	834873	305620	1.0
01/01/2017	834873	330709	1.0
01/01/2017	834873	359728	1.0
01/01/2017	834874	348582	1.0
01/01/2017	834874	348638	1.0
01/01/2017	834874	361540	1.0
01/01/2017	834874	373252	1.0
01/01/2017	834871	11259	1.0
01/01/2017	834871	280247	1.0
01/01/2017	834871	373272	1.0
01/01/2017	834871	373297	1.0
01/01/2017	834870	274075	1.0
01/01/2017	834870	356098	1.0
01/01/2017	834870	356100	1.0
01/01/2017	834870	369644	1.0
01/01/2017	834869	366697	1.0
01/01/2017	834869	369428	1.0
01/01/2017	834869	373261	1.0
01/01/2017	834869	373273	1.0
01/01/2017	834847	285652	1.0
01/01/2017	834847	332321	1.0
01/01/2017	834846	286879	1.0
01/01/2017	834846	304423	1.0
01/01/2017	834844	362655	1.0
01/01/2017	834844	363055	1.0
01/01/2017	834834	245655	1.0
01/01/2017	834834	366773	1.0
01/01/2017	834813	368092	1.0
01/01/2017	834746	364753	1.0
01/01/2017	834738	369472	1.0
01/01/2017	834865	311665	3.0
01/01/2017	834865	311670	1.0
01/01/2017	834865	330870	1.0
01/01/2017	834810	359874	1.0
01/01/2017	834736	339337	1.0
01/01/2017	834725	347382	1.0
01/01/2017	834654	74347	1.0
01/01/2017	834654	238490	1.0
02/01/2017	835891	373261	1.0
02/01/2017	835891	373273	1.0
02/01/2017	835889	344619	1.0
02/01/2017	835889	344621	1.0
02/01/2017	835889	364059	1.0
02/01/2017	835889	364753	1.0
02/01/2017	835886	340307	1.0
02/01/2017	835886	340309	1.0
02/01/2017	835886	348601	1.0
02/01/2017	835886	355083	1.0
02/01/2017	835884	359873	1.0
02/01/2017	835884	369428	1.0
